Product_ID,Product_name,Description,brand_name,price
216940208,Giày Boot Nữ Da Bò BIGGBEN Cao 7 phân BON4,"FOM GIÀY BÉ CÁC BẠN CÂN NHẮC TĂNG 1 SIZEBoot Nữ với chất liệu Da Bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nam luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay ...",BIGGBEN,799000
208324988,"Giày bốt nữ cổ ngắn cao gót 7 phân RO307 ROSATA dây kéo nằm má trong, thêu hoạ tiết tinh tế má ngoài - màu đen","ROSATA - thương hiệu giày thời trang nữ cao cấp THUẦN VIỆT NHƯNG CHẤT LƯỢNG QUỐC TẾ------------------Giày bốt nữ cổ thấp cao gót 7 phân RO307 ROSATA dây kéo nằm má trong, thêu hoạ tiết tinh tế má ngoà...",Rosata,649000
274457345,"Giày boots nữ cổ ngắn mũi nhọn 7p RO590 ROSATA tại BCASHOP thiết kế đơn giản nhưng sang trọng, không cầu kì mà khí chất","ROSATA - thương hiệu giày thời trang nữ cao cấp THUẦN VIỆT NHƯNG CHẤT LƯỢNG QUỐC TẾ------------------Giày boots nữ cổ ngắn mũi nhọn 7p RO590 ROSATA tại BCASHOP thiết kế đơn giản nhưng sang trọng, khô...",Rosata,499000
249967896,Giày Boot Nữ Cổ Thấp Da Bò Thật BIGGBEN Cao 7 phân BON6,"Thương hiệu: BIGBENBoot nữ cổ thấpFOM GIÀY BÉ CÁC BẠN CÂN NHẮC TĂNG 1 SIZEBoot Nữ với chất liệu Da Bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nam luôn thoải mái, tự tin khi đi ch...",BIGGBEN,799000
274457393,"Bốt nữ cổ ngắn cao cấp 7 phân RO590 ROSATA tại BCASHOP thiết kế đơn giản nhưng sang trọng, không cầu kì mà khí chất","ROSATA - thương hiệu giày thời trang nữ cao cấp THUẦN VIỆT NHƯNG CHẤT LƯỢNG QUỐC TẾ------------------Giày boots nữ cổ ngắn mũi nhọn 7p RO590 ROSATA tại BCASHOP thiết kế đơn giản nhưng sang trọng, khô...",Rosata,499000
207359021,Giày Boot Nữ Da Bò BIGGBEN Cao 7 phân BON3,"Boot Nữ với chất liệu Da Bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nam luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Boot được xử lý đặc biệt để t...",BIGGBEN,599000
275270637,"Boot nữ PABNO PN652, Giày Bốt nữ da mịn cổ cao gót vuông 8cm, Giày boot nữ chính hãng khóa bên mũi nhọn cao cấp","Boot da cổ cao mũi nhọn cao 8cm PABNO PN652----------  1. THÔNG TIN SẢN PHẨM:Boot không còn xa lạ với chị em phụ nữ Á Châu, Boot có thể phối hợp cùng nhiều trang phục khác nhau, trong nhiều sự kiện...",PABNO,945000
249935663,Giày Boot Nữ Cổ Thấp Da Bò Thật BIGGBEN Cao 5 phân BON5,"Thương hiệu: BIGBENBoot nữ cổ thấpFOM GIÀY BÉ CÁC BẠN CÂN NHẮC TĂNG 1 SIZEBoot Nữ với chất liệu Da Bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nam luôn thoải mái, tự tin khi đi ch...",BIGGBEN,799000
262058064,Giày Boot Nữ Cổ Thấp Da Bò Thật BIGGBEN Cao 5 phân BON7,"Thương hiệu: BIGBENBoot nữ cổ thấpFOM GIÀY BÉ CÁC BẠN CÂN NHẮC TĂNG 1 SIZEBoot Nữ với chất liệu Da Bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nam luôn thoải mái, tự tin khi đ...",BIGGBEN,799000
249970641,Giày Boot Nữ Cổ Thấp Da Bò Thật BIGGBEN Cao 5 phân BON8,"Thương hiệu: BIGBENBoot nữ cổ thấpFOM GIÀY BÉ CÁC BẠN CÂN NHẮC TĂNG 1 SIZEBoot Nữ với chất liệu Da Bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nam luôn thoải mái, tự tin kh...",BIGGBEN,749000
